State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
Maharashtra,29,Mumbai North Central,19,MUSHTAQUE HAIDER SHAIKH,Independent,405,-,405,0.04
Maharashtra,29,Mumbai North Central,20,DR ADV YASHWANT RAMBHAU KASBE,Bhartiya Jan Vikas Aaghadi,385,6,391,0.04
Maharashtra,29,Mumbai North Central,21,KURBAN SHAHADAT HUSAIN,Rashtriya Ulama Council,366,1,367,0.04
Maharashtra,29,Mumbai North Central,22,ABDUL TAHIR ADVOCATE BABLU RAJNIKANT,Independent,355,-,355,0.04
Maharashtra,29,Mumbai North Central,23,SHAUKAT ABDUL RAFIQ KHAN,Insaniyat Party,341,4,345,0.04
Maharashtra,29,Mumbai North Central,24,RAJESH MOHAN LOKHANDE,Independent,282,7,289,0.03
Maharashtra,29,Mumbai North Central,25,YUNUSALI RASHID MULLA,Independent,220,-,220,0.02
Maharashtra,29,Mumbai North Central,26,ADV FEROZ SHAIKH,Independent,180,-,180,0.02
Maharashtra,29,Mumbai North Central,27,MUZAFAR ALI SHAIKH,Independent,173,-,173,0.02
Maharashtra,29,Mumbai North Central,28,NOTA,None of the Above,9665,84,9749,1.07
Maharashtra,30,Mumbai South Central,1,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),393342,1796,395138,49.73
Maharashtra,30,Mumbai South Central,2,RAHUL RAMESH SHEWALE,Shiv Sena,339828,1926,341754,43.01
Maharashtra,30,Mumbai South Central,3,ABUL HASAN ALI HASAN KHAN,Vanchit Bahujan  Aaghadi,23675,192,23867,3
Maharashtra,30,Mumbai South Central,4,VIDHYASAGAR ALIAS SURESH BHIMRAO VIDHYAGAR,Bahujan Samaj Party,6462,70,6532,0.82
Maharashtra,30,Mumbai South Central,5,AKASH LAXMAN KHARATMAL,Independent,1891,8,1899,0.24
Maharashtra,30,Mumbai South Central,6,ASHWINI KUMAR PATHAK,Independent,1607,5,1612,0.2
Maharashtra,30,Mumbai South Central,7,ADV. SANTOSH PUNJIRAM SANJKAR,Independent,1565,13,1578,0.2
Maharashtra,30,Mumbai South Central,8,KARAM HUSSAIN KITABULLAH KHAN,Peace Party,1533,4,1537,0.19
Maharashtra,30,Mumbai South Central,9,ADV. MAHENDRA TULSHIRAM BHINGARDIVE,Right to Recall Party,1414,30,1444,0.18
Maharashtra,30,Mumbai South Central,10,SAEED CHOUDHARY,Social Democratic Party Of India,1186,5,1191,0.15
Maharashtra,30,Mumbai South Central,11,ISHWAR VILAS TATHAWADE,Rashtriya Mahaswaraj Bhumi Party,968,3,971,0.12
Maharashtra,30,Mumbai South Central,12,DEEPAK M. CHAUGULE,Bahujan Republican  Socialist Party,968,7,975,0.12
Maharashtra,30,Mumbai South Central,13,JAHID ALI NASIR AHMED SHAIKH,Aazad Samaj Party (Kanshi Ram),957,2,959,0.12
Maharashtra,30,Mumbai South Central,14,DR. ARJUN MAHADEO MURUDKAR,Bharatheeya Jawan Kisan Party,913,17,930,0.12
Maharashtra,30,Mumbai South Central,15,VIVEK YESHWANT PATIL,Independent,713,1,714,0.09
Maharashtra,30,Mumbai South Central,16,NOTA,None of the Above,13316,107,13423,1.69
Maharashtra,31,Mumbai South,1,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),393735,1920,395655,51.18
Maharashtra,31,Mumbai South,2,YAMINI YASHWANT JADHAV,Shiv Sena,341291,1691,342982,44.36
Maharashtra,31,Mumbai South,3,AFZAL S. DAWOODANI,Vanchit Bahujan  Aaghadi,5575,37,5612,0.73
Maharashtra,31,Mumbai South,4,MOHAMMED SHUAIB BASHIR KHATEEB,Bahujan Samaj Party,4440,38,4478,0.58
Maharashtra,31,Mumbai South,5,ARVIND NARAYAN SAWANT,Independent,3065,25,3090,0.4
Maharashtra,31,Mumbai South,6,MOHD. NAEEM SHAIKH,Aim Political Party,1709,6,1715,0.22
Maharashtra,31,Mumbai South,7,SABEEHA KHAN,Independent,1678,16,1694,0.22
Maharashtra,31,Mumbai South,8,GOHIL MANISHA SHIVRAM,Independent,1032,13,1045,0.14
Maharashtra,31,Mumbai South,9,SHANKAR SONAWANE,Independent,854,8,862,0.11
Maharashtra,31,Mumbai South,10,RAHUL PHANASWADIKAR,Lokshahi Ekta Party,784,3,787,0.1
Maharashtra,31,Mumbai South,11,SUBHASH RAMESH CHIPLUNKAR,Rashtriya Kisan Bahujan Party,563,4,567,0.07
Maharashtra,31,Mumbai South,12,PRASHANT PRAKASH GHADGE,Independent,487,3,490,0.06
Maharashtra,31,Mumbai South,13,MOHAMMED MAHTAB SHAIKH,Independent,455,3,458,0.06
Maharashtra,31,Mumbai South,14,MATEEN AHMED RANGREJ,Independent,265,2,267,0.03
Maharashtra,31,Mumbai South,15,NOTA,None of the Above,13290,121,13411,1.73
Maharashtra,32,Raigad,1,TATKARE SUNIL DATTATREY,Nationalist Congress Party,506529,1823,508352,50.17
Maharashtra,32,Raigad,2,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),423137,2431,425568,42
Maharashtra,32,Raigad,3,KUMUDINI RAVINDRA CHAVAN,Vanchit Bahujan  Aaghadi,19500,118,19618,1.94
Maharashtra,32,Raigad,4,SHRINIVAS SATYANARAYAN MATTAPARTI,Independent,9379,15,9394,0.93
Maharashtra,32,Raigad,5,AMIT SHRIPAL KAWADE,Independent,5603,31,5634,0.56
Maharashtra,32,Raigad,6,ANANT BALOJI GITE,Independent,3485,30,3515,0.35
Maharashtra,32,Raigad,7,NITIN JAGANNATH MAYEKAR,Independent,2548,12,2560,0.25
Maharashtra,32,Raigad,8,CHAULE PANDURANG DAMODAR,Independent,2394,23,2417,0.24
Maharashtra,32,Raigad,9,ANANT PADMA GITE,Independent,2001,39,2040,0.2
Maharashtra,32,Raigad,10,COL PRAKASHRAO CHAVAN,Bharatheeya Jawan Kisan Party,1863,76,1939,0.19
Maharashtra,32,Raigad,11,KOLI MANGESH PADMAKAR,Independent,1797,23,1820,0.18
Maharashtra,32,Raigad,12,ADV AJAY UPADHYE,Independent,1756,39,1795,0.18
Maharashtra,32,Raigad,13,ANJANI ASHWIN KELKAR,Independent,1325,25,1350,0.13
Maharashtra,32,Raigad,14,NOTA,None of the Above,27188,82,27270,2.69
Maharashtra,33,Maval,1,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692101,731,692832,48.81
Maharashtra,33,Maval,2,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),595542,675,596217,42
Maharashtra,33,Maval,3,MADHAVITAI  NARESH JOSHI,Vanchit Bahujan  Aaghadi,27745,23,27768,1.96
Maharashtra,33,Maval,4,RAJARAM NARAYAN PATIL,Bahujan Samaj Party,13982,21,14003,0.99
Maharashtra,33,Maval,5,ADV JYOTISHWAR VISHNU BHOSALE,Baliraja Party,10874,5,10879,0.77
Maharashtra,33,Maval,6,UMAKANT RAMESHWAR MISHRA,Independent,5029,1,5030,0.35
Maharashtra,33,Maval,7,SANJOG  PATIL,Independent,4828,2,4830,0.34
Maharashtra,33,Maval,8,KAMBLE MARUTI APARAI,Independent,4827,2,4829,0.34
Maharashtra,33,Maval,9,AJAY HANUMANT LONDHE,Independent,4766,1,4767,0.34
Maharashtra,33,Maval,10,SANTOSH UBALE,Bhim Sena,3824,1,3825,0.27
Maharashtra,33,Maval,11,ADHALGE LAXMAN SADASHIV,Independent,3166,1,3167,0.22
Maharashtra,33,Maval,12,SUHAS MANOHAR RANE,Independent,2923,-,2923,0.21
Maharashtra,33,Maval,13,IQBAL IBRAHIM NAWDEKAR,Independent,2899,1,2900,0.2
Maharashtra,33,Maval,14,DADARAO KISAN KAMBLE,Independent,2636,6,2642,0.19
Maharashtra,33,Maval,15,RAHUL NIVRUTTI MADANE,Independent,2279,3,2282,0.16
Maharashtra,33,Maval,16,TUSHAR DIGAMBAR LONDHE,Bahujan Bharat Party,2199,4,2203,0.16
Maharashtra,33,Maval,17,RAHIM MAINUDDIN SAYYAD,Aazad Samaj Party (Kanshi Ram),2148,1,2149,0.15
Maharashtra,33,Maval,18,INDRAJEET D GOND,Independent,2135,-,2135,0.15
Maharashtra,33,Maval,19,SHIVAJI KISAN JADHAV,All India Forward Bloc,1672,4,1676,0.12
Maharashtra,33,Maval,20,YASHWANT VITTHAL PAWAR,Kranti Kari Jai Hind Sena,1634,4,1638,0.12
Maharashtra,33,Maval,21,PRAFUL PANDIT BHOSALE,Independent,1602,1,1603,0.11
Maharashtra,33,Maval,22,RAJENDRA MARUTI KATE,Independent,1417,2,1419,0.1
Maharashtra,33,Maval,23,MAHESH THAKUR,Dharmarajya Paksha,1369,3,1372,0.1
Maharashtra,33,Maval,24,PRASHANT RAMKRISHNA BHAGAT,Bharatheeya Jawan Kisan Party,1283,8,1291,0.09
Maharashtra,33,Maval,25,PANKAJ PRABHAKAR OZARKAR,Akhil Bhartiya Parivar Party,1259,2,1261,0.09
Maharashtra,33,Maval,26,MANOJ BHASKAR GARBADE,Independent,1233,-,1233,0.09
Maharashtra,33,Maval,27,HAJRAT IMAMSAB PATEL,Independent,1093,-,1093,0.08
Maharashtra,33,Maval,28,GOVIND GANGARAM HERODE,Independent,966,-,966,0.07
Maharashtra,33,Maval,29,MADHUKAR DAMODAR THORAT,Independent,905,-,905,0.06
Maharashtra,33,Maval,30,RAFIQUE RASHID QURESHI,Desh Janhit Party,829,-,829,0.06
Maharashtra,33,Maval,31,CHIMAJI DHONDIBA SHINDE,Independent,757,-,757,0.05
Maharashtra,33,Maval,32,ADV RAJU PATIL,Independent,669,1,670,0.05
Maharashtra,33,Maval,33,MUKESH MANOHAR AGARWAL,Independent,546,1,547,0.04
Maharashtra,33,Maval,34,NOTA,None of the Above,16729,31,16760,1.18
Maharashtra,34,Pune,1,MURLIDHAR MOHOL,Bharatiya Janata Party,584171,557,584728,52.94
Maharashtra,34,Pune,2,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461409,281,461690,41.8
Maharashtra,34,Pune,3,VASANT (TATYA) MORE,Vanchit Bahujan  Aaghadi,31991,21,32012,2.9
Maharashtra,34,Pune,4,RANPISE PRASHANT DADARAM,Bahujan Samaj Party,3969,5,3974,0.36
Maharashtra,34,Pune,5,CHORMALE SANDIP SOPAN,Independent,1644,1,1645,0.15
Maharashtra,34,Pune,6,GORAKH NARAYAN GHODKE,Independent,1451,-,1451,0.13
Maharashtra,34,Pune,7,KIRAN LAXMAN RAYKAR,Independent,1052,-,1052,0.1
Maharashtra,34,Pune,8,ANIS ARASHID SUNDAKE,All India Majlis-E-Ittehadul Muslimeen,859,1,860,0.08
Maharashtra,34,Pune,9,SACHIN DATTATRAY DHANKUDE,Independent,788,1,789,0.07
Maharashtra,34,Pune,10,YUVRAJ CHANDRAKANT  LIMBOLE,Right to Recall Party,698,-,698,0.06
Maharashtra,34,Pune,11,DR. DEVYANI PANDIT,Independent,645,5,650,0.06
Maharashtra,34,Pune,12,NARENDRA DNYANESHWAR PAWTEKAR,Independent,533,1,534,0.05
Maharashtra,34,Pune,13,SAGAR SAMBHAJI PORE,Independent,515,-,515,0.05
Maharashtra,34,Pune,14,SURESH DNYANOBA PATIL,Sainik Samaj Party,437,-,437,0.04
Maharashtra,34,Pune,15,AMBORE MANJUNATH MARUTI,Independent,433,-,433,0.04
Maharashtra,34,Pune,16,ASHWINI PRATIBHA KHAIRNAR,Independent,412,3,415,0.04
Maharashtra,34,Pune,17,VIJAY VINAYAK JAGTAP,Independent,382,-,382,0.03
Maharashtra,34,Pune,18,HEMANT BABURAV KOLEKAR ALIAS HEMANT PATIL,Apni Prajahit Party,374,1,375,0.03
Maharashtra,34,Pune,19,NEERAJ SUNIL KAMTHAN,Hindu Samaj Party,351,-,351,0.03
Maharashtra,34,Pune,20,MANOJ LAXMAN VETAL,Bhim Sena,351,1,352,0.03
Maharashtra,34,Pune,21,KAMBLE MILIND,Bahujan Samaj Party  (Ambedkar),344,3,347,0.03
Maharashtra,34,Pune,22,CHANDRAKANT PARMESHWAR SAWANT,Independent,314,-,314,0.03
Maharashtra,34,Pune,23,SHABBIR SAJJANBHAI TAMBOLI,Independent,313,-,313,0.03
Maharashtra,34,Pune,24,SANJAY LAXMAN KENDALE,Independent,311,-,311,0.03
Maharashtra,34,Pune,25,JOHNSON VASANT KOLHAPURE,Independent,304,1,305,0.03
Maharashtra,34,Pune,26,ADV. YOGESH MAKANE,Independent,298,1,299,0.03
Maharashtra,34,Pune,27,SUBROTO ROY,Ekam Sanatan Bharat Dal,293,1,294,0.03
Maharashtra,34,Pune,28,DR. BALASAHEB ARJUN POL,Independent,259,-,259,0.02
Maharashtra,34,Pune,29,VIJAYALAXMI SHRIKANT SINDAGI,Rashtriya Maratha Party,239,1,240,0.02
Maharashtra,34,Pune,30,MAHESH DASHRATH MHASKE,Independent,229,2,231,0.02
Maharashtra,34,Pune,31,YABES ALIAS AMOL SHAMUVEL TUJARE,Independent,223,-,223,0.02
Maharashtra,34,Pune,32,VIJAY PANDURANGRAO DESHMUKH (DABADGAONKAR),Independent,183,2,185,0.02
Maharashtra,34,Pune,33,BABA SALIM SAYYED,Independent,163,1,164,0.01
Maharashtra,34,Pune,34,BAGBAN SALEEM ABDUL RAZZAQUE,Independent,146,-,146,0.01
Maharashtra,34,Pune,35,ZNYOSHO VIJAYPRAKASH,Independent,138,-,138,0.01
Maharashtra,34,Pune,36,NOTA,None of the Above,7449,11,7460,0.68
Maharashtra,35,Baramati,1,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,731400,912,732312,51.85
Maharashtra,35,Baramati,2,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,573391,588,573979,40.64
Maharashtra,35,Baramati,3,MAHESH SITARAM BHAGWAT,Independent,15620,43,15663,1.11
Maharashtra,35,Baramati,4,SHAIKH SOYALSHAHA YUNUSSHAHA,Independent,14913,4,14917,1.06
Maharashtra,35,Baramati,5,PRIYADARSHANI NANDKUMAR KOKARE,Bahujan Samaj Party,9995,35,10030,0.71
Maharashtra,35,Baramati,6,SACHIN SHANKAR AGAWANE,Independent,6633,-,6633,0.47
Maharashtra,35,Baramati,7,KAMBLE TRISHALA,Bahujan Samaj Party  (Ambedkar),5032,4,5036,0.36
Maharashtra,35,Baramati,8,SUNITA PAWAR,Independent,4150,1,4151,0.29
Maharashtra,35,Baramati,9,GAJANAN UTTAM GAWALI (PATIL),Independent,2991,4,2995,0.21
Maharashtra,35,Baramati,10,MANOJ BALASAHEB RASAL,Independent,2610,-,2610,0.18
Maharashtra,35,Baramati,11,MAHADEV SAHEBRAO KHENGARE - PATIL,Bhartiya Navjawan Sena (Paksha),2412,6,2418,0.17
Maharashtra,35,Baramati,12,PRADEEP RAMCHANDRA MANE,Independent,2234,1,2235,0.16
Maharashtra,35,Baramati,13,SHIVAJI JAYSING KOKRE,Independent,2161,3,2164,0.15
Maharashtra,35,Baramati,14,PROF. NAMDEORAO JADHAV,Independent,2125,9,2134,0.15
Maharashtra,35,Baramati,15,RAJENDRA PANDURANG BHOSALE,People’s Union Party,2007,2,2009,0.14
Maharashtra,35,Baramati,16,KALYANI SUJITKUMAR WAGHMODE,Independent,1974,1,1975,0.14
Maharashtra,35,Baramati,17,DASHRATH NANA RAUT,Bharatiya Praja Surajya Paksha,1828,6,1834,0.13
Maharashtra,35,Baramati,18,ANKUSH DNYANESHAWAR PILANE,Independent,1663,-,1663,0.12
Maharashtra,35,Baramati,19,SANDIP ABAJI DEOKATE,Independent,1622,2,1624,0.11
Maharashtra,35,Baramati,20,DATTATRAY RAMBHAU CHANDARE,Independent,1433,1,1434,0.1
Maharashtra,35,Baramati,21,SHAILENDRA ALIAS SANDEEP KARANJAWANE,Independent,1392,-,1392,0.1
Maharashtra,35,Baramati,22,SHUBHANGI DHAYGUDE,Independent,1283,9,1292,0.09
Maharashtra,35,Baramati,23,DR. SOMNATH ALIAS BALASAHEB ARJUN POL,Independent,1169,-,1169,0.08
Maharashtra,35,Baramati,24,ROHIDAS BALASO KONDAKE,Bahujan Republican  Socialist Party,1127,3,1130,0.08
Maharashtra,35,Baramati,25,MILIND VITTHAL SHINDE,Independent,1099,-,1099,0.08
Maharashtra,35,Baramati,26,SURESHDADA BABURAO VIR,Independent,1012,-,1012,0.07
Maharashtra,35,Baramati,27,BAPU PRALHAD PAWAR,Independent,997,1,998,0.07
Maharashtra,35,Baramati,28,RAJENDRA MAHADEV BARAKADE,Independent,905,2,907,0.06
Maharashtra,35,Baramati,29,UMESH MAHADEV MHETRE,Independent,807,1,808,0.06
Maharashtra,35,Baramati,30,SHIVAJI RAMBHAU NANDKHILE,Bharatheeya Jawan Kisan Party,785,4,789,0.06
Maharashtra,35,Baramati,31,SHARAD RAM PAWAR,Independent,730,1,731,0.05
Maharashtra,35,Baramati,32,LAXMAN RAM KUMBHAR,Dalit Soshit Pichhara Varg  Adhikar Dal,694,2,696,0.05
Maharashtra,35,Baramati,33,SHRIDHAR NARAYAN SALVE,Bhim Sena,675,4,679,0.05
Maharashtra,35,Baramati,34,BALASO MARUTI DHAPATE,Independent,655,-,655,0.05
Maharashtra,35,Baramati,35,VIJAY LAXMAN GHAVALE,Independent,617,3,620,0.04
Maharashtra,35,Baramati,36,VISHAL ARUN PAWAR,Independent,553,-,553,0.04
Maharashtra,35,Baramati,37,SAVITA BHIMRAO KADALE,Hindustan Janta Party,549,2,551,0.04
Maharashtra,35,Baramati,38,VIJAYPRAKASH ANANT KONDEKAR,Independent,301,-,301,0.02
Maharashtra,35,Baramati,39,NOTA,None of the Above,9130,21,9151,0.65
Maharashtra,36,Shirur,1,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,697768,924,698692,50.83
Maharashtra,36,Shirur,2,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,557138,603,557741,40.58
Maharashtra,36,Shirur,3,MANOHAR MAHADU WADEKAR,Independent,28324,6,28330,2.06
Maharashtra,36,Shirur,4,DR. ANWAR SHAIKH,Vanchit Bahujan  Aaghadi,17444,18,17462,1.27
Maharashtra,36,Shirur,5,RAHUL RAGHUNATH OWHAL,Bahujan Samaj Party,10280,15,10295,0.75
Maharashtra,36,Shirur,6,CHANDGUDE VINOD VASANT,Independent,8076,2,8078,0.59
Maharashtra,36,Shirur,7,GORAKSH KASABE,Independent,4913,2,4915,0.36
Maharashtra,36,Shirur,8,ADV. DR. LAXMAN RAMBHAU DAMSE,Bharat Adivasi Party,4125,11,4136,0.3
Maharashtra,36,Shirur,9,GAIKWAD NILOBA CHANGADEO,Independent,3569,2,3571,0.26
Maharashtra,36,Shirur,10,UMESH MAHADEV MHETRE,Independent,3499,-,3499,0.25
Maharashtra,36,Shirur,11,ADV.SWAPNIL BHAUSAHEB SHELAR,Independent,2667,-,2667,0.19
Maharashtra,36,Shirur,12,AMOL VILAS PACHUNDKAR,Independent,2386,2,2388,0.17
Maharashtra,36,Shirur,13,ASLAM ISAK BAGWAN,Lok Sena Party,2348,2,2350,0.17
Maharashtra,36,Shirur,14,KAMBLE TRIMBAK NARAYAN,Baliraja Party,2223,4,2227,0.16
Maharashtra,36,Shirur,15,SUBASH KASHINATH SARODE,Independent,2161,-,2161,0.16
Maharashtra,36,Shirur,16,CHAAYA SANJAY JAGDALE-SOLANKE,Independent,1823,7,1830,0.13
Maharashtra,36,Shirur,17,SUSHIL DNYANDEV KANSE,Independent,1731,1,1732,0.13
Maharashtra,36,Shirur,18,NARAYAN PRABHAKAR ANKUSHE,Bharatheeya Jawan Kisan Party,1279,5,1284,0.09
Maharashtra,36,Shirur,19,BHOR VIKAS ROHIDAS,Independent,1145,2,1147,0.08
Maharashtra,36,Shirur,20,DADA ALIAS VIKAS SURESH KASBE,Independent,1105,1,1106,0.08
Maharashtra,36,Shirur,21,SURAJ CHANDRAKANT GAIKWAD,Independent,936,2,938,0.07
Maharashtra,36,Shirur,22,SWAPNIL DHANAJI LONDHE,Bhim Sena,913,1,914,0.07
Maharashtra,36,Shirur,23,AMAR MACHINDRA BORHADE,Independent,887,1,888,0.06
Maharashtra,36,Shirur,24,RAVINDRA MOTIRAM SIRSAM,Independent,870,-,870,0.06
Maharashtra,36,Shirur,25,TUKARAM NAMDEO DAPHAL,Sainik Samaj Party,862,20,882,0.06
Maharashtra,36,Shirur,26,PANDURANG BHAGWAN WAGHOLE,Independent,818,1,819,0.06
Maharashtra,36,Shirur,27,SANJAY LAXMAN PADWAL,Bhartiya Navjawan Sena (Paksha),779,5,784,0.06
Maharashtra,36,Shirur,28,HARIDAS CHANDAR BHISE,Bharatiya Lokvikas Party,721,2,723,0.05
Maharashtra,36,Shirur,29,SALIM BABA SAYYAD,Independent,671,-,671,0.05
Maharashtra,36,Shirur,30,PRAKASH SUKHADEO JAMDHADE,Independent,602,1,603,0.04
Maharashtra,36,Shirur,31,WAKHARE PRADIP PANDURANG,Independent,574,-,574,0.04
Maharashtra,36,Shirur,32,RAHUL ARJUN HORE,Independent,526,-,526,0.04
Maharashtra,36,Shirur,33,NOTA,None of the Above,9634,27,9661,0.7
Maharashtra,37,Ahmednagar,1,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,622144,2653,624797,47.14
Maharashtra,37,Ahmednagar,2,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,593568,2300,595868,44.95
Maharashtra,37,Ahmednagar,3,ALEKAR GORAKH DASHRATH,Independent,44582,15,44597,3.36
Maharashtra,37,Ahmednagar,4,DEELIP KONDIBA KHEDKAR,Vanchit Bahujan  Aaghadi,13689,60,13749,1.04
Maharashtra,37,Ahmednagar,5,AMOL VILAS PACHUNDKAR,Independent,5491,2,5493,0.41
Maharashtra,37,Ahmednagar,6,BHAGWAT DHONDIBA GAIKWAD,Samata Party,4941,3,4944,0.37
Maharashtra,37,Ahmednagar,7,UMASHANKAR SHYAMBABU YADAV,Bahujan Samaj Party,4509,30,4539,0.34
Maharashtra,37,Ahmednagar,8,ADV. JAMIR SHAIKH,Independent,3934,1,3935,0.3
Maharashtra,37,Ahmednagar,9,AARTI KISHORKUMAR HALDAR,Prabuddha Republican Party,3790,9,3799,0.29
Maharashtra,37,Ahmednagar,10,NAVSHAD MUNSILAL SHAIKH,Independent,2226,-,2226,0.17
Maharashtra,37,Ahmednagar,11,SURYABHAN (ALIAS SURESH) DATTATRAYA LAMBE,Independent,2092,-,2092,0.16
Maharashtra,37,Ahmednagar,12,KALIRAM BAHIRU POPALGHAT,Bhartiya Navjawan Sena (Paksha),1975,6,1981,0.15
Maharashtra,37,Ahmednagar,13,GAVADE MACCHINDRA RADHAKISAN,Independent,1940,1,1941,0.15
Maharashtra,37,Ahmednagar,14,PRAVIN SUBHASH DALVI,Independent,1896,2,1898,0.14
Maharashtra,37,Ahmednagar,15,MADAN KANIFNATH SONVANE,Right to Recall Party,1445,6,1451,0.11
Maharashtra,37,Ahmednagar,16,DR. KAILASH NIVRUTTI JADHAV,Maharashtra Vikas Aghadi,1425,10,1435,0.11
Maharashtra,37,Ahmednagar,17,KOTHARI RAVINDRA LILACHAND,Rashtriya Janmanch (Secular),1330,3,1333,0.1
Maharashtra,37,Ahmednagar,18,ADV. SHIVAJIRAO WAMAN DAMALE (EX. SGT OF IAF),Sainik Samaj Party,1093,11,1104,0.08
Maharashtra,37,Ahmednagar,19,GANGADHAR HARIBHAU KOLEKAR,Independent,1059,-,1059,0.08
Maharashtra,37,Ahmednagar,20,DATTATRAY APPA WAGHMODE,Rashtriya Jankranti Party,868,5,873,0.07
Maharashtra,37,Ahmednagar,21,WABLE BHAUSAHEB BAPURAO,Bharatheeya Jawan Kisan Party,790,11,801,0.06
Maharashtra,37,Ahmednagar,22,SHEKATKAR ANIL GANPAT,Independent,702,-,702,0.05
Maharashtra,37,Ahmednagar,23,ADV. MAHENDRA DADASAHEB SHINDE,Independent,674,1,675,0.05
Maharashtra,37,Ahmednagar,24,BILAL GAFUR SHAIKH,Independent,531,-,531,0.04
Maharashtra,37,Ahmednagar,25,RAOSAHEB SHANKAR KALE,Independent,370,2,372,0.03
Maharashtra,37,Ahmednagar,26,NOTA,None of the Above,3254,28,3282,0.25
Maharashtra,38,Shirdi,1,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),475637,1263,476900,45
Maharashtra,38,Shirdi,2,LOKHANDE SADASHIV KISAN,Shiv Sena,425498,873,426371,40.23
Maharashtra,38,Shirdi,3,UTKARSHA PREMANAND RUPWATE,Vanchit Bahujan  Aaghadi,90748,181,90929,8.58
Maharashtra,38,Shirdi,4,BHAUSAHEB RAMNATH WAKCHAURE,Independent,13973,33,14006,1.32
Maharashtra,38,Shirdi,5,RAMCHANDRA NAMDEV JADHAV,Bahujan Samaj Party,7000,40,7040,0.66
Maharashtra,38,Shirdi,6,RAVINDRA KALLAYYA SWAMY,Independent,5536,1,5537,0.52
Maharashtra,38,Shirdi,7,ABHIJEET ASHOKRAO POTE,Independent,4761,15,4776,0.45
Maharashtra,38,Shirdi,8,BHARAT SAMBHAJI BHOSLE,Samata Party,3395,8,3403,0.32
Maharashtra,38,Shirdi,9,SATISH BHIVA PAWAR,Independent,2765,6,2771,0.26
Maharashtra,38,Shirdi,10,GANGADHAR RAJARAM KADAM,Independent,2743,14,2757,0.26
Maharashtra,38,Shirdi,11,BAGUL GORAKSHA TANHAJI,Independent,2658,2,2660,0.25
Maharashtra,38,Shirdi,12,PRASHANT VASANT NIKAM,Independent,2542,3,2545,0.24
Maharashtra,38,Shirdi,13,ADV NITIN DADAHARI POL,Bahujan Bharat Party,2517,15,2532,0.24
Maharashtra,38,Shirdi,14,RAJENDRA RATNAKAR WAGHMARE,Rashtriya Jankranti Party,2500,5,2505,0.24
Maharashtra,38,Shirdi,15,ADV SIDHARTH DEEPAK BODHAK,Independent,2202,2,2204,0.21
Maharashtra,38,Shirdi,16,CHANDRAKANT SAMBHAJI DONDE,Independent,2074,6,2080,0.2
Maharashtra,38,Shirdi,17,ASHOK RAMCHANDRA ALHAT,Independent,1794,4,1798,0.17
Maharashtra,38,Shirdi,18,KHAJEKAR VIJAYRAO GOVINDRAO,Independent,1555,2,1557,0.15
Maharashtra,38,Shirdi,19,KHARAT NACHIKET RAGHUNATH,Independent,1146,4,1150,0.11
Maharashtra,38,Shirdi,20,SANJAY POPAT BHALERAO,Independent,958,5,963,0.09
Maharashtra,38,Shirdi,21,NOTA,None of the Above,5326,54,5380,0.51
Maharashtra,39,Beed,1,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,682532,1418,683950,44.93
Maharashtra,39,Beed,2,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,675349,2048,677397,44.5
Maharashtra,39,Beed,3,ASHOK BHAGOJI THORAT,Bahujan Maha Party,54829,21,54850,3.6
Maharashtra,39,Beed,4,ASHOK SUKHDEV HINGE,Vanchit Bahujan  Aaghadi,50741,126,50867,3.34
Maharashtra,39,Beed,5,SHAIKH TOUSIF ABDUL SATTAR,Independent,9472,-,9472,0.62
Maharashtra,39,Beed,6,DR. SIDDHARTH RAJENDRA TAKANKAR,Bahujan Samaj Party,5092,19,5111,0.34
Maharashtra,39,Beed,7,SHAMSHER KHAN SAHEB KHAN PATHAN,Independent,4704,-,4704,0.31
Maharashtra,39,Beed,8,JAVED SIKANDAR MOMIN,Independent,2662,-,2662,0.17
Maharashtra,39,Beed,9,NAZEM KHAN JABBAR KHAN PATHAN,Independent,2586,-,2586,0.17
Maharashtra,39,Beed,10,GOKUL BAPURAO SAWASE,Independent,2576,1,2577,0.17
Maharashtra,39,Beed,11,GAFFARKHAN JABBARKHAN PATHAN,Independent,2561,2,2563,0.17
